address,city,state,country,hotel_star_rating,latitude,longitude,pageurl,property_id,property_name,room_type,uniq_id
1/13/115. Opposite Idgah. Civil Lines. 224001 Faizābād. India – Show map,faizābād,Uttar Pradesh,India,,26.77518755,82.13269204,http://www.booking.com/hotel/in/akash-yatri-niwas.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=05&checkin_year_month=2016-12&checkout_monthday=06&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1745550,Akash Yatri Niwas,Single Bed in Mixed Dormitory Room,04f8ec9d870701baf0cdd9f54ca19f76
21(1178)Deb Banerjee Road Tagore Park Embypass. 700039 Kolkata. India – Show map,kolkata,West Bengal,India,,22.5220098,88.39497685,http://www.booking.com/hotel/in/silver-inn-guest-house.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=03&checkin_year_month=2016-12&checkout_monthday=04&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1747714,silver inn guest house,Deluxe Double Room,89a81c16088f13dc535d26df826c08cf
H.no 303. curca canturlim. near curca panchayat.ilhas-Goa. 403108 Bambolim. India – Show map,bambolim,Goa,India,,15.46084185,73.87727816,http://www.booking.com/hotel/in/casa-dcm-amp-esmeralda.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=01&checkin_year_month=2016-12&checkout_monthday=02&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1763675,Casa D.C.M & Esmeralda,Villa with Garden View,d5fbb749f0736c9ad50a1da3172a1c27
Toucan Plaza. 65 Residency Road. 560025 Bangalore. India – Show map,bangalore,Karnataka,India,3-star hotel,12.97259172,77.6089422,http://www.booking.com/hotel/in/octave-suites-residency-rd.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=17&checkin_year_month=2016-12&checkout_monthday=18&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1747947,Octave Suites - Residency Rd,Deluxe Suite,970353c74a93b5098500c424f196e956
E 89. Lal Bahadur Nagar. JLN Marg. Malviya Nagar. 302018 Jaipur. India – Great location -,jaipur,Rajasthan,India,,26.84869415,75.805388,http://www.booking.com/hotel/in/raj-regency-jaipur.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=16&checkin_year_month=2016-12&checkout_monthday=17&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1745292,Raj Regency,Deluxe Twin Room,1b491993b55a347bce164f1fe3279b49
4647. Shora Kothi. Main Bazaar.Pahar Ganj. Paharganj. 110055 New Delhi. India – This neighbourhood is a great choice for travellers interested in city trips. sightseeing. and shopping – Check location Show map,new delhi,Delhi NCR,India,,28.64043518,77.21528158,http://www.booking.com/hotel/in/welcome-inn-new-delhi.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=03&checkin_year_month=2016-12&checkout_monthday=04&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1752945,Welcome Inn,Budget Double Room,aa71cccbe539eecb57fb4be18378198c
8189/6.Gali No-6 Arakashan Road Pahar Ganj New Delhi. Paharganj. 110055 New Delhi. India – This neighbourhood is a great choice for travellers interested in city trips. sightseeing. and shopping – Check location Show map,new delhi,Delhi NCR,India,2-star hotel,28.64580753,77.21597811,http://www.booking.com/hotel/in/sudarshan-palace-new-delhi.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=17&checkin_year_month=2016-12&checkout_monthday=18&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1753448,Hotel Sudarshan Palace,Budget Double Room,c676d18f862b1896476f7122a0e3e935
Brein Nishat. Near Tulip Garden. State Bank Road. 191121 Srinagar. India – Show map,srinagar,Jammu & Kashmir,India,2-star hotel,34.09855914,74.87785578,http://www.booking.com/hotel/in/el-classics.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=01&checkin_year_month=2016-12&checkout_monthday=02&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1758828,Hotel El Classics,Deluxe Double Room,febaf6ad742ab2ae6bc25fb5676081ae
Nagar Manmad Highway. Oppsite Indian Oil Pertol Pump. 423109 Shirdi. India – Great location -,shirdi,Maharashtra,India,2-star hotel,19.7589791,74.47627276,http://www.booking.com/hotel/in/bandhan-shirdi.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=01&checkin_year_month=2016-12&checkout_monthday=02&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1764771,Hotel Bandhan Shirdi,Apartment with Balcony,bbfb29e4c3df91616e5f529b1b544706
Naka Hindola Crossing. Aishbagh Road. Near DAV College. Charbagh. 226004 Lucknow. India – Show map,lucknow,Uttar Pradesh,India,3-star hotel,26.83716059,80.92022896,http://www.booking.com/hotel/in/monarch-inn-lucknow.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=01&checkin_year_month=2016-12&checkout_monthday=02&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1763677,Monarch Inn,Standard Double Room,128481d808b59ffb5145af4b4f8e896a
6/5 B. Anil moitra road. Ballygunge. 700019 Kolkata. India – This neighbourhood is a great choice for travellers interested in art. museums. and food – Check location Show map,kolkata,West Bengal,India,,22.52476677,88.37059289,http://www.booking.com/hotel/in/vinayak-apartment.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=16&checkin_year_month=2016-12&checkout_monthday=17&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1747692,Vinayak Apartment,Two-Bedroom Apartment,8420fc4d93a010f3c042bb6f539f3699
At Post Ganpatipule. Prachin Konkan Road. 415615 Ganpatipule. India – Show map,ganpatipule,Maharashtra,India,1-star hotel,17.14958281,73.27330068,http://www.booking.com/hotel/in/center-point-residency.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=09&checkin_year_month=2016-12&checkout_monthday=10&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1755130,Center Point Residency,Budget Double Room,e42daac358719885aaa00bf98f307f07
,kalpatta,Kerala,India,4-star hotel,11.59098919,76.09284282,http://www.booking.com/hotel/in/ivory-grande.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=17&checkin_year_month=2016-12&checkout_monthday=18&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,,,Deluxe Double Room,6348dde9f96d68b7e4c626fb5cef0e82
Plot No 17 . Jayabheri Pine Valley Colony. Telecom Nagar. Beside Cyberabad police commissionarate. Gachibowli. Kondapur. 500032 Hyderabad. India – Great location -,hyderabad,Telangana,India,2-star hotel,17.46048755,78.34877372,http://www.booking.com/hotel/in/treebo-sravya-residency.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=17&checkin_year_month=2016-12&checkout_monthday=18&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1763882,Treebo Sravya Residency,Standard Double Room,aa7b403d4f92c36d96b179cf116804df
