address,city,state,country,hotel_star_rating,per_day_price,latitude,longitude,pageurl,property_id,property_name,room_type,uniq_id
13 East Canal Road. Near Survey Chownk. 248001 Dehradun. India – Great location -,dehradun,Uttarakhand,India,3-star hotel,899,30.32768828,78.05293545,http://www.booking.com/hotel/in/sukhsadan.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=03&checkin_year_month=2016-12&checkout_monthday=04&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,506921,Hotel Sukhsadan,Tent,c47621e5812bd774ea64c9126f1b0cc0
4060 Gali Hari Mandir Kaserruwalan Paharganj. New Delhi. Paharganj. 110055 New Delhi. India – This neighbourhood is a great choice for travellers interested in city trips. sightseeing. and monuments – Check location Show map,new delhi,Delhi NCR,India,,3948,28.64408442,77.2147511,http://www.booking.com/hotel/in/chopra-international-delhi.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=05&checkin_year_month=2016-12&checkout_monthday=06&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1628982,Hotel Chopra international,Deluxe Double Room,696c58dc10b273402ee23df603b02a3c
NH 27. Udaipur-Pindwara Road. Mokela Jaswantgarh. Dist.-Udaipur. 303708 Udaipur. India – Show map,udaipur,Rajasthan,India,,2980,24.78048041,73.47503364,http://www.booking.com/hotel/in/ashish-ratan-resort.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=17&checkin_year_month=2016-12&checkout_monthday=18&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1690902,Ashish Ratan Resort,Deluxe Family Suite,f53958edf677133ae61b0b02e1570ca6
Bhowali road. Bhimtal. Nainital. 263132 Bhīm Tāl. India – Show map,bhīm tāl,Uttarakhand,India,3-star hotel,1059,29.37564476,79.5354782,http://www.booking.com/hotel/in/the-pine-crest.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=09&checkin_year_month=2016-12&checkout_monthday=10&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,543376,The Pine Crest,Super Deluxe Double Room,9afdb7bc85272629159ee7317947b01c
Opposite Badrinath Highway Yoga Street Tapovan.Laxman Jhula. 249192 Rishīkesh. India – Show map,rishīkesh,Uttarakhand,India,3-star hotel,899,30.13116307,78.32522124,http://www.booking.com/hotel/in/shivansh-inn.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=01&checkin_year_month=2016-12&checkout_monthday=02&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,495803,Hotel Shivansh Inn,Double Room,6a4669dcceec175c056e554827616e55
Info park Kakkanad. Ernakulam. 682042 Cochin. India – This neighbourhood is a great choice for travellers interested in nature. shopping for clothes. and scenery – Check location Show map,cochin,Kerala,India,,4130,9.984501062,76.30128264,http://www.booking.com/hotel/in/14-square-kakanad-1.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=05&checkin_year_month=2016-12&checkout_monthday=06&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1631035,14 Square Kakanad 1,Standard Double Room,bc93fbcec0f5dd8a10f89a1f7d02694c
SCO 403-404. Sector 35-C. 160027 Chandīgarh. India – Show map,chandīgarh,Chandigarh,India,3-star hotel,1199,30.72582636,76.76671028,http://www.booking.com/hotel/in/classic-chandigarh.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=05&checkin_year_month=2016-12&checkout_monthday=06&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,540214,Hotel Classic,Deluxe Double or Twin Room,e79b8139d6448b93be186c0af577b822
Renigunta Road.Opposite Hero Show Room.. 516507 Tirupati. India – Show map,tirupati,Andhra Pradesh,India,5-star hotel,9399,13.6301134,79.4383707,http://www.booking.com/hotel/in/oyo-rooms-renigunta-road.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=01&checkin_year_month=2016-12&checkout_monthday=02&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1829600,OYO Rooms Renigunta Road,Family Room,ea52e4d486aa2eb161473f94d2b51192
Medical College PO.Kumarapuram Road. 695011 Trivandrum. India – Show map,trivandrum,Kerala,India,5-star hotel,7449,8.520506,76.929453,http://www.booking.com/hotel/in/oyo-rooms-medical-college-police-station.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=03&checkin_year_month=2016-12&checkout_monthday=04&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1829601,OYO Rooms Medical College Police Station,Deluxe Double Room with Sea View,2f1298c6ed2683f0c1758ee8e6ad55d9
Kunchithanny Road Aadit Anachal. 685212 Munnar. India – Show map,munnar,Kerala,India,,4528,10.02314913,77.04394877,http://www.booking.com/hotel/in/john-holidays-munnar.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=03&checkin_year_month=2016-12&checkout_monthday=04&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1634510,John Holidays,Budget Double Room,5d49dc14f90696db03b14933088d3bd6
